5,0.0,3
10,0.3,101
20,0.55,101
30,0.5333333333333333,101
40,0.475,101
50,0.44,101
60,0.5333333333333333,101
70,0.4857142857142857,100
80,0.5125,47
90,0.4777777777777778,101
100,0.52,76
110,0.5727272727272728,101
120,0.5916666666666667,101
130,0.6384615384615384,72
140,0.5785714285714286,101
150,0.64,100
160,0.65,28
170,0.6705882352941176,21
180,0.6333333333333333,38
190,0.6368421052631579,22
200,0.63,36
250,0.712,32
300,0.73,25
400,0.77,19
500,0.744,16
600,0.7216666666666667,17
700,0.71,18
800,0.72375,18
900,0.7333333333333333,18
1000,0.728,18
