5,0.4,101
10,0.3,101
20,0.55,101
30,0.5333333333333333,101
40,0.475,101
50,0.44,101
60,0.5333333333333333,101
70,0.4857142857142857,101
80,0.4875,101
90,0.5,101
100,0.58,101
110,0.5363636363636364,101
120,0.6416666666666667,31
130,0.6076923076923076,101
140,0.5642857142857143,101
150,0.6666666666666666,44
160,0.675,37
170,0.6588235294117647,87
180,0.6333333333333333,101
190,0.6368421052631579,23
200,0.65,43
250,0.712,37
300,0.7366666666666667,23
400,0.76,28
500,0.728,24
600,0.7116666666666667,21
700,0.71,17
800,0.72875,17
900,0.7288888888888889,20
1000,0.722,16
