5,0.0,1
10,0.3,101
20,0.55,101
30,0.5333333333333333,101
40,0.575,24
50,0.56,26
60,0.6333333333333333,26
70,0.5428571428571428,29
80,0.6375,21
90,0.6333333333333333,27
100,0.68,32
110,0.7,25
120,0.675,30
130,0.7307692307692307,35
140,0.6785714285714286,23
150,0.76,30
160,0.7875,26
170,0.7176470588235294,26
180,0.7111111111111111,28
190,0.7,32
200,0.72,24
250,0.808,25
300,0.8033333333333333,26
400,0.85,23
500,0.816,22
600,0.8516666666666667,20
700,0.85,19
800,0.83625,18
900,0.8355555555555556,18
1000,0.828,18
