5,0.0,1
10,0.0,7
20,0.1,101
30,0.4666666666666667,101
40,0.575,101
50,0.76,101
60,0.7666666666666667,60
70,0.7714285714285715,27
80,0.7375,51
90,0.7444444444444445,21
100,0.71,16
110,0.7454545454545455,22
120,0.7083333333333334,31
130,0.7538461538461538,25
140,0.7571428571428571,21
150,0.7733333333333333,15
160,0.78125,16
170,0.7705882352941177,19
180,0.8277777777777777,8
190,0.8263157894736842,8
200,0.8,11
250,0.82,10
300,0.8333333333333334,9
400,0.8525,11
500,0.852,9
600,0.87,10
700,0.8871428571428571,9
800,0.89125,9
900,0.9166666666666666,8
1000,0.906,9
